Контрольная 1,Контрольная 2,Контрольная 3,Сон накануне,Настроение,Энергетиков накануне,Посещаемость занятий,Время подготовки
4,4,9,Нет,Хорошее,4+,Низкая,За неделю
9,9,6,Да,Плохое,1,Средняя,Последний час
8,6,9,Да,Хорошее,2-3,Средняя,Последний час
8,4,9,Да,Хорошее,1,Высокая,Последняя ночь
9,10,4,Нет,Нормальное,1,Низкая,Последний час
6,7,7,Да,Хорошее,0,Средняя,За неделю
6,8,10,Да,Нормальное,2-3,Низкая,За несколько дней
8,6,10,Нет,Хорошее,4+,Средняя,За несколько дней
7,8,6,Нет,Хорошее,4+,Низкая,За неделю
9,4,9,Нет,Плохое,0,Средняя,Последний час
7,5,4,Да,Плохое,0,Высокая,Последняя ночь
9,8,7,Нет,Нормальное,4+,Низкая,Последний час
9,4,10,Нет,Хорошее,0,Средняя,За неделю
10,7,7,Да,Плохое,4+,Низкая,Последняя ночь
9,4,6,Да,Нормальное,1,Средняя,Последняя ночь
6,6,10,Нет,Нормальное,0,Высокая,Последний час
7,9,9,Нет,Хорошее,1,Низкая,Последняя ночь
4,5,9,Нет,Плохое,2-3,Высокая,Последний час
10,10,6,Да,Хорошее,4+,Низкая,Последний час
4,9,8,Нет,Хорошее,2-3,Низкая,За несколько дней
10,9,8,Нет,Нормальное,1,Низкая,Последняя ночь
9,7,7,Да,Хорошее,0,Низкая,За несколько дней
9,10,9,Да,Хорошее,0,Средняя,Последний час
10,4,6,Нет,Хорошее,4+,Низкая,Последний час
9,6,7,Да,Хорошее,4+,Средняя,За неделю
4,8,5,Да,Плохое,0,Высокая,За несколько дней
10,7,5,Нет,Плохое,1,Высокая,За неделю
7,7,4,Да,Хорошее,4+,Низкая,Последняя ночь
10,6,10,Да,Плохое,2-3,Средняя,За неделю
4,6,7,Нет,Хорошее,0,Средняя,За неделю
10,8,6,Да,Хорошее,0,Средняя,За неделю
7,4,6,Нет,Хорошее,4+,Низкая,За неделю
9,10,10,Нет,Плохое,4+,Средняя,За неделю
4,7,8,Нет,Плохое,1,Средняя,Последний час
8,9,9,Нет,Хорошее,1,Низкая,За несколько дней
6,6,7,Нет,Нормальное,0,Высокая,За несколько дней
7,4,9,Нет,Хорошее,1,Средняя,За неделю
5,4,4,Да,Хорошее,2-3,Средняя,Последняя ночь
6,8,6,Да,Нормальное,4+,Высокая,Последний час
5,7,4,Да,Плохое,0,Средняя,Последний час
5,8,7,Да,Плохое,1,Низкая,Последний час
7,5,10,Да,Плохое,0,Средняя,Последний час
10,4,4,Да,Хорошее,4+,Низкая,За несколько дней
10,8,8,Нет,Нормальное,0,Низкая,Последняя ночь
5,4,4,Да,Нормальное,0,Высокая,За неделю
4,8,8,Да,Хорошее,4+,Низкая,За несколько дней
6,9,4,Нет,Нормальное,2-3,Высокая,За неделю
7,4,7,Нет,Хорошее,2-3,Высокая,За неделю
7,4,8,Да,Нормальное,1,Средняя,За неделю
8,10,9,Да,Плохое,4+,Средняя,Последняя ночь
7,7,10,Нет,Нормальное,2-3,Низкая,Последняя ночь
8,7,9,Да,Плохое,4+,Высокая,Последний час
7,10,9,Да,Плохое,1,Средняя,Последняя ночь
6,7,6,Да,Нормальное,2-3,Высокая,Последний час
9,4,8,Нет,Хорошее,0,Низкая,За несколько дней
8,4,7,Нет,Нормальное,2-3,Высокая,За несколько дней
7,7,4,Да,Плохое,0,Низкая,За несколько дней
6,7,9,Нет,Нормальное,2-3,Высокая,За несколько дней
10,5,8,Нет,Хорошее,4+,Низкая,За несколько дней
